maker,model,variant,region,1000KM,5000KM,10000KM,20000KM,30000KM,40000KM,50000KM,60000KM,70000KM,80000KM,90000KM,100000KM
Perodua,Ativa,,Peninsular,,,933.16,304.88,240.06,426.12,240.06,304.88,240.06,426.12,240.06,933.16
Perodua,Ativa,,EM,,,980.26,314.98,248.16,440.72,248.16,314.98,248.16,440.72,248.16,980.26
Perodua,New Alza,CVT (1500cc),Peninsular,,,184.7,322.96,251.66,428,251.66,322.96,251.66,428,251.66,749.42
Perodua,New Alza,CVT (1500cc),EM,,,193,333.26,259.96,442.8,259.96,333.26,259.96,442.8,259.96,784.52
Perodua,Axia,,Peninsular,,,156.8,285.26,251.2,579.34,215.12,320.26,215.12,579.34,251.2,285.26
Perodua,Axia,,EM,,,165.85,297.01,261.25,604.49,224.17,333.01,224.17,604.49,261.25,297.01
Perodua,Alza,,Peninsular,96.3,96.3,127.4,277.44,221.8,530.04,185.72,312.44,185.72,530.04,221.8,277.44
Perodua,Alza,,EM,104.05,104.05,133.65,289.69,229.05,553.59,191.97,325.69,191.97,553.59,229.05,289.69
Perodua,MYVI,CVT (1300cc),Peninsular,,,177.4,300.68,233.56,431.02,233.56,300.68,233.56,431.02,233.56,720.66
Perodua,MYVI,CVT (1300cc),EM,,,185.25,310.63,241.41,448.57,241.41,310.63,241.41,448.57,241.41,755.41
Perodua,MYVI,CVT (1500cc),Peninsular,,,184.7,307.98,240.86,438.32,240.86,307.98,240.86,438.32,240.86,727.96
Perodua,MYVI,CVT (1500cc),EM,,,193,318.38,249.16,459.32,249.16,318.38,249.16,459.32,249.16,763.16
Perodua,BEZZA,1000cc,Peninsular,,,156.8,285.26,269.56,641.14,216.2,338.62,216.2,641.14,269.56,285.26
Perodua,BEZZA,1000cc,EM,,,165.85,297.01,279.61,669.19,225.25,251.37,225.25,669.19,279.61,297.01
Perodua,BEZZA,1300cc,Peninsular,,,177.4,224.92,278.28,660.1,224.92,278.28,224.92,660.1,278.28,524.16
